issuer_cik,issuer_name,issuer_ticker,total_shares,num_transactions,total_volume
1819848,"Joby Aviation, Inc.",JOBY,49701790.0,1,250000003.7
1476765,"GOLUB CAPITAL BDC, Inc.",GBDC,12119942.18,2,183374725.1834
1740332,"RESIDEO TECHNOLOGIES, INC.",REZI,5804501.0,2,101023227.38
769520,MIDDLEBY Corp,MIDD,642968.0,15,93789838.67
1988280,Manulife Private Credit Fund,,2886230.0,2,59988454.46
