issuer_cik,issuer_name,issuer_ticker,total_shares,num_transactions,total_volume
1703056,ADT Inc.,ADT,90000000.0,2,744300000.0
924396,"OpenLocker Holdings, Inc.",OLKR,60282684.0,1,0.0
1869198,"Life Time Group Holdings, Inc.",LTH,43548155.0,9,1279224904.88
1556801,"My City Builders, Inc.",MYCB,32066506.0,8,4809975.9
1865782,"BrightSpring Health Services, Inc.",BTSG,31488101.0,9,666400475.55
