issuer_cik,issuer_name,issuer_ticker,total_shares,num_transactions,total_volume
919567,"RENN Fund, Inc.",RCG,26106.0,161,68227.62
1550913,"MacKenzie Realty Capital, Inc.",MKZR,90000.0,30,455280.0
1811074,Texas Pacific Land Corp,TPL,23.0,23,21479.21
1599117,"Mentor Capital, Inc.",MNTR,183000.0,21,45645.79
1230869,ASA Gold & Precious Metals Ltd,ASA,462685.0,19,22051816.56
