issuer_cik,issuer_name,issuer_ticker,total_shares,num_transactions,total_volume
1403256,"Sculptor Capital Management, Inc.",SCU,29664827.0,1,376743302.9
1771995,American Picture House Corp,APHP,100000.0,7,162016800.0
1981792,Howard Hughes Holdings Inc.,HHH,1129094.0,21,82328241.31
1954360,Crescent Private Credit Income Corp,,2941176.16,3,74999992.08
1836057,BlackRock Innovation & Growth Term Trust,BIGZ,7336951.0,21,51046754.42
