issuer_cik,issuer_name,issuer_ticker,total_shares,num_transactions,total_volume
1593549,"Livento Group, Inc.",NUGN,1076144695.0,2,0.0
2041610,Paramount Skydance Corp,PSKY,83640992.0,1,
885590,Bausch Health Companies Inc.,BHC,37964167.0,4,333757792.74
1680367,"Shattuck Labs, Inc.",STTK,12612254.0,4,10972660.98
1894562,"Prime Medicine, Inc.",PRME,10590900.0,4,34949970.0
