issuer_cik,issuer_name,issuer_ticker,total_shares,num_transactions,total_volume
867028,"FOMO WORLDWIDE, INC.",FOMC,4947625053.0,682,56999.82
919567,"RENN Fund, Inc.",RCG,12810.0,111,23145.19
1811074,Texas Pacific Land Corp,TPL,234.0,76,310699.33
1595527,American Strategic Investment Co.,NYC,9819.0,32,75910.71
356037,CSP INC /MA/,CSPI,9145.0,30,111838.03
